Layer Name,Trainable,Number of Parameters
model.0.conv.weight,False,3456
model.0.bn.weight,False,32
model.0.bn.bias,False,32
model.1.conv.weight,False,18432
model.1.bn.weight,False,64
model.1.bn.bias,False,64
model.2.cv1.conv.weight,False,2048
model.2.cv1.bn.weight,False,32
model.2.cv1.bn.bias,False,32
model.2.cv2.conv.weight,False,2048
model.2.cv2.bn.weight,False,32
model.2.cv2.bn.bias,False,32
model.2.cv3.conv.weight,False,4096
model.2.cv3.bn.weight,False,64
model.2.cv3.bn.bias,False,64
model.2.m.0.cv1.conv.weight,False,1024
model.2.m.0.cv1.bn.weight,False,32
model.2.m.0.cv1.bn.bias,False,32
model.2.m.0.cv2.conv.weight,False,9216
model.2.m.0.cv2.bn.weight,False,32
model.2.m.0.cv2.bn.bias,False,32
model.3.conv.weight,False,73728
model.3.bn.weight,False,128
model.3.bn.bias,False,128
model.4.cv1.conv.weight,False,8192
model.4.cv1.bn.weight,False,64
model.4.cv1.bn.bias,False,64
model.4.cv2.conv.weight,False,8192
model.4.cv2.bn.weight,False,64
model.4.cv2.bn.bias,False,64
model.4.cv3.conv.weight,False,16384
model.4.cv3.bn.weight,False,128
model.4.cv3.bn.bias,False,128
model.4.m.0.cv1.conv.weight,False,4096
model.4.m.0.cv1.bn.weight,False,64
model.4.m.0.cv1.bn.bias,False,64
model.4.m.0.cv2.conv.weight,False,36864
model.4.m.0.cv2.bn.weight,False,64
model.4.m.0.cv2.bn.bias,False,64
model.4.m.1.cv1.conv.weight,False,4096
model.4.m.1.cv1.bn.weight,False,64
model.4.m.1.cv1.bn.bias,False,64
model.4.m.1.cv2.conv.weight,False,36864
model.4.m.1.cv2.bn.weight,False,64
model.4.m.1.cv2.bn.bias,False,64
model.5.conv.weight,False,294912
model.5.bn.weight,False,256
model.5.bn.bias,False,256
model.6.cv1.conv.weight,False,32768
model.6.cv1.bn.weight,False,128
model.6.cv1.bn.bias,False,128
model.6.cv2.conv.weight,False,32768
model.6.cv2.bn.weight,False,128
model.6.cv2.bn.bias,False,128
model.6.cv3.conv.weight,False,65536
model.6.cv3.bn.weight,False,256
model.6.cv3.bn.bias,False,256
model.6.m.0.cv1.conv.weight,False,16384
model.6.m.0.cv1.bn.weight,False,128
model.6.m.0.cv1.bn.bias,False,128
model.6.m.0.cv2.conv.weight,False,147456
model.6.m.0.cv2.bn.weight,False,128
model.6.m.0.cv2.bn.bias,False,128
model.6.m.1.cv1.conv.weight,False,16384
model.6.m.1.cv1.bn.weight,False,128
model.6.m.1.cv1.bn.bias,False,128
model.6.m.1.cv2.conv.weight,False,147456
model.6.m.1.cv2.bn.weight,False,128
model.6.m.1.cv2.bn.bias,False,128
model.6.m.2.cv1.conv.weight,False,16384
model.6.m.2.cv1.bn.weight,False,128
model.6.m.2.cv1.bn.bias,False,128
model.6.m.2.cv2.conv.weight,False,147456
model.6.m.2.cv2.bn.weight,False,128
model.6.m.2.cv2.bn.bias,False,128
model.7.conv.weight,False,1179648
model.7.bn.weight,False,512
model.7.bn.bias,False,512
model.8.cv1.conv.weight,False,131072
model.8.cv1.bn.weight,False,256
model.8.cv1.bn.bias,False,256
model.8.cv2.conv.weight,False,131072
model.8.cv2.bn.weight,False,256
model.8.cv2.bn.bias,False,256
model.8.cv3.conv.weight,False,262144
model.8.cv3.bn.weight,False,512
model.8.cv3.bn.bias,False,512
model.8.m.0.cv1.conv.weight,False,65536
model.8.m.0.cv1.bn.weight,False,256
model.8.m.0.cv1.bn.bias,False,256
model.8.m.0.cv2.conv.weight,False,589824
model.8.m.0.cv2.bn.weight,False,256
model.8.m.0.cv2.bn.bias,False,256
model.9.cv1.conv.weight,False,131072
model.9.cv1.bn.weight,False,256
model.9.cv1.bn.bias,False,256
model.9.cv2.conv.weight,False,524288
model.9.cv2.bn.weight,False,512
model.9.cv2.bn.bias,False,512
model.10.conv.weight,False,131072
model.10.bn.weight,False,256
model.10.bn.bias,False,256
model.13.cv1.conv.weight,False,65536
model.13.cv1.bn.weight,False,128
model.13.cv1.bn.bias,False,128
model.13.cv2.conv.weight,False,65536
model.13.cv2.bn.weight,False,128
model.13.cv2.bn.bias,False,128
model.13.cv3.conv.weight,False,65536
model.13.cv3.bn.weight,False,256
model.13.cv3.bn.bias,False,256
model.13.m.0.cv1.conv.weight,False,16384
model.13.m.0.cv1.bn.weight,False,128
model.13.m.0.cv1.bn.bias,False,128
model.13.m.0.cv2.conv.weight,False,147456
model.13.m.0.cv2.bn.weight,False,128
model.13.m.0.cv2.bn.bias,False,128
model.14.conv.weight,False,32768
model.14.bn.weight,False,128
model.14.bn.bias,False,128
model.17.cv1.conv.weight,False,16384
model.17.cv1.bn.weight,False,64
model.17.cv1.bn.bias,False,64
model.17.cv2.conv.weight,False,16384
model.17.cv2.bn.weight,False,64
model.17.cv2.bn.bias,False,64
model.17.cv3.conv.weight,False,16384
